doc_id,dominant_topic,top_topic_prob,margin,entropy
106,2,0.42405152320861816,0.18230459094047546,1.397823013734297
107,14,0.45609021186828613,0.2955230474472046,1.6205256641738153
108,6,0.9067692756652832,0.8450531214475632,0.45493400229222414
109,4,0.3845479488372803,0.08208346366882324,1.3330447245162709
110,4,0.585267186164856,0.45482608675956726,1.3364258080024842
111,2,0.5613866448402405,0.3340412378311157,1.1252455047825607
112,14,0.48250558972358704,0.25294847786426544,1.4342876823867552
113,3,0.5852922201156616,0.3486141711473465,1.1396517044342072
114,6,0.30979734659194946,0.033467113971710205,1.5416789407391525
115,14,0.42247962951660156,0.16857576370239258,1.4862090738235127
116,2,0.3606205880641937,0.17522254586219788,1.7524885744497147
117,14,0.5355403423309326,0.25786396861076355,1.1203753530157659
118,1,0.5754939913749695,0.3812035024166107,1.2671930233653694
119,13,0.3243173062801361,0.11437806487083435,1.8140317347084003
120,4,0.7132294178009033,0.5780028253793716,0.9456014023452336
121,0,0.4150715172290802,0.13255378603935242,1.5702609401685503
122,11,0.49359723925590515,0.1322130262851715,1.2361082725605095
123,5,0.1962512731552124,0.0048101842403411865,1.9378991634304277
124,4,0.3362320363521576,0.005380481481552124,1.4423898188890931
125,11,0.7019302248954773,0.4800819754600525,0.8794050785093396
126,9,0.4192849397659302,0.0657561719417572,1.1849667113329778
127,2,0.6565415263175964,0.5438446700572968,1.1640457868284202
128,12,0.2258404642343521,0.06129421293735504,2.1289956793792277
129,1,0.49049219489097595,0.22149842977523804,1.3373066043568096
130,14,0.42851555347442627,0.11894181370735168,1.3774764481449189
131,2,0.4350568354129791,0.2479197233915329,1.5845785485720774
132,14,0.6669346690177917,0.35592949390411377,0.777264954626539
133,2,0.33067643642425537,0.0108814537525177,1.6722104503721231
134,2,0.3447810411453247,0.03643035888671875,1.5921371156441981
135,15,0.2937139570713043,0.050806403160095215,1.792434178400851
136,16,0.44600412249565125,0.15057766437530518,1.3349794277837583
137,14,0.6367725729942322,0.45160381495952606,1.0847940914526402
138,15,0.4411992132663727,0.17122432589530945,1.3674942464444486
139,15,0.3661620616912842,0.08163022994995117,1.4537813399461774
140,2,0.5222327709197998,0.18316632509231567,1.1805288627990627
141,10,0.261777400970459,0.0353340208530426,1.967118308021733
142,2,0.36717990040779114,0.14841705560684204,1.5955516639654126
143,0,0.33810290694236755,0.11262430250644684,1.6990227796176336
144,13,0.7170019149780273,0.5048645734786987,0.842333755006231
145,11,0.3617883622646332,0.15997472405433655,1.6443716923266682
146,4,0.4564306139945984,0.22805193066596985,1.4388726782354706
147,15,0.29944515228271484,0.030932724475860596,1.7946486906397818
148,15,0.3397615849971771,0.020717740058898926,1.4694264266986787
149,15,0.39508405327796936,0.06007462739944458,1.2679592764215615
150,3,0.5128992199897766,0.34045039117336273,1.5106948161436464
151,13,0.8546255230903625,0.7723572328686714,0.6049562131568228
152,4,0.32807496190071106,0.07105386257171631,1.540340278392245
153,16,0.30072876811027527,0.03375837206840515,1.796958877839523
154,14,0.3557724952697754,0.17267388105392456,1.6207145161764438
155,12,0.4275873601436615,0.13487279415130615,1.4452973687946835
156,16,0.3907875716686249,0.08820480108261108,1.2894191104661452
157,6,0.489093154668808,0.25274424254894257,1.449231269589242
158,4,0.6309815645217896,0.42936815321445465,1.031803141860206
159,5,0.47506681084632874,0.040878891944885254,1.0799790894002526
160,11,0.37364262342453003,0.02381560206413269,1.375691747740694
161,14,0.8289386630058289,0.6758873760700226,0.5639063333934908
162,4,0.252123087644577,0.027076199650764465,1.7188949488211787
163,9,0.7959825992584229,0.6870428174734116,0.7573473725539973
164,0,0.21094170212745667,0.00790432095527649,1.9565100824852042
165,3,0.6772947311401367,0.5401518940925598,1.0720161778968313
166,6,0.40584641695022583,0.18120460212230682,1.4998846104368393
167,13,0.4736637473106384,0.21714702248573303,1.3257396437048388
168,9,0.48434627056121826,0.19870322942733765,1.2834862828816904
169,9,0.22184333205223083,0.004166692495346069,1.7671759651087917
170,4,0.5178528428077698,0.36710746586322784,1.4950498389483862
171,9,0.42253968119621277,0.23714938759803772,1.6501795863626603
172,5,0.2948876619338989,0.11478805541992188,2.021832605797066
173,2,0.46842390298843384,0.051599711179733276,1.0861347702124655
174,4,0.4406382143497467,0.23294010758399963,1.5694134478703183
175,15,0.33503854274749756,0.08637213706970215,1.629648708105367
176,5,0.5765833854675293,0.387410432100296,1.347687713409575
177,16,0.42859339714050293,0.12417691946029663,1.469664095745575
178,12,0.3944464921951294,0.14009487628936768,1.4326330899822688
179,0,0.4964292645454407,0.3687243163585663,1.5621186747972766
180,16,0.4612729549407959,0.14410728216171265,1.1508137427941396
181,6,0.3979905843734741,0.1638503223657608,1.6557550590234316
182,11,0.4136756658554077,0.16708704829216003,1.4859731760499773
183,15,0.2950941324234009,0.013139724731445312,1.719592018091637
184,6,0.549990713596344,0.2816976308822632,1.2428548190113244
185,3,0.6173867583274841,0.419343963265419,1.1156040041839497
186,5,0.5260316729545593,0.32021859288215637,1.3543805209273905
187,14,0.3333922326564789,0.044551342725753784,1.4338521468692318
188,11,0.5428794622421265,0.1701085865497589,1.0474796145726755
189,1,0.3099825978279114,0.03272077441215515,1.6942500136293976
190,3,0.3315289318561554,0.003906041383743286,1.4939235815389535
191,16,0.4707731008529663,0.23331302404403687,1.3848704371587226
192,14,0.6001123785972595,0.39101409912109375,1.093127869639981
193,0,0.4040279686450958,0.014109134674072266,1.3352535579879439
194,5,0.3007012903690338,0.0723249614238739,1.84342496947988
195,10,0.3816797137260437,0.11065289378166199,1.580017340473766
196,2,0.5811435580253601,0.19758367538452148,0.8965854569725279
197,9,0.29550766944885254,0.08555281162261963,1.7584555009110245
198,15,0.5171776413917542,0.18888819217681885,1.2134396240349776
199,16,0.21370920538902283,0.03697970509529114,2.0425716943708228
200,0,0.39722350239753723,0.23997138440608978,1.7522303142735296
201,15,0.5171152949333191,0.09938782453536987,0.995260465127446
202,1,0.2992627024650574,0.025630682706832886,1.7272233658292173
203,5,0.3695358633995056,0.16035225987434387,1.7723826902665962
204,14,0.4887201488018036,0.26359979808330536,1.3627770128579584
205,9,0.3315805196762085,0.07555818557739258,1.6496947317947452
206,6,0.33380556106567383,0.009785294532775879,1.5584555939152986
207,16,0.3830548822879791,0.18377864360809326,1.7415227038723855
208,6,0.43493884801864624,0.07097586989402771,1.1973718241742763
209,11,0.33349522948265076,0.0783197283744812,1.7816902426975831
210,16,0.6469560861587524,0.41839978098869324,1.0037256198396602
211,9,0.6077964901924133,0.44419704377651215,1.1871744982371206
212,11,0.5128415822982788,0.314337819814682,1.393007243008493
213,16,0.2911071181297302,0.0002861917018890381,1.563945950213005
214,14,0.3676668405532837,0.13356228172779083,1.7725453932863557
215,1,0.36044448614120483,0.14505942165851593,1.7116763027520407
216,9,0.43437013030052185,0.01789867877960205,1.1992418387042538
217,6,0.27073603868484497,0.09510129690170288,1.8348303315536778
218,16,0.3362528681755066,0.07232388854026794,1.7079323260951838
219,13,0.7247097492218018,0.46819427609443665,0.7078287996713419
220,1,0.45597612857818604,0.24828067421913147,1.3984752619788703
221,0,0.288175493478775,0.11135220527648926,1.7738709519632039
222,11,0.49683815240859985,0.06097501516342163,0.9696206523556584
223,3,0.42344993352890015,0.13808128237724304,1.3834232246406615
224,2,0.48439088463783264,0.29171688854694366,1.3899759561578329
225,11,0.3924656808376312,0.11173629760742188,1.463095504149866
226,1,0.43315836787223816,0.0819253921508789,1.1677246456160402
227,9,0.5833722352981567,0.31111663579940796,1.1786584630238328
228,14,0.5077747702598572,0.24333414435386658,1.3042032190558914
229,7,0.457584410905838,0.1900973618030548,1.2015052653532956
230,14,0.4904842674732208,0.2191210687160492,1.3004946727810736
231,6,0.4909093677997589,0.20839914679527283,1.1507099405147208
232,3,0.4437033534049988,0.19529157876968384,1.346117092744342
233,13,0.7788803577423096,0.6207939237356186,0.8311754973688308
234,14,0.30515962839126587,0.083463653922081,1.665961249506573
235,14,0.37254637479782104,0.13322307169437408,1.577456155760455
236,1,0.438643217086792,0.2571781277656555,1.588144474215451
237,6,0.4081372022628784,0.17683596909046173,1.5101812486912407
238,2,0.33740925788879395,0.08210080862045288,1.7348338661289469
239,12,0.3073110580444336,0.16308176517486572,1.9868341477653375
240,5,0.33229291439056396,0.14314188063144684,1.7378554463448084
241,2,0.25824204087257385,0.025587648153305054,1.764671325074049
242,14,0.48595020174980164,0.07947427034378052,1.0805891632119546
243,14,0.3136034607887268,0.03983977437019348,1.4668634578892372
244,2,0.3164896070957184,0.05220279097557068,1.487935906799443
245,3,0.4742041528224945,0.23099568486213684,1.2613650467861204
246,8,0.247648224234581,0.022873714566230774,1.8655176101287323
247,2,0.28766965866088867,0.016448140144348145,1.582150333074144
248,1,0.4769895672798157,0.14394837617874146,1.2179692249081102
249,9,0.43048667907714844,0.22372880578041077,1.5421024163613328
250,15,0.31009119749069214,0.018471568822860718,1.7057645939728572
251,9,0.5203001499176025,0.1626613736152649,1.168934106385296
252,2,0.3626634478569031,0.19091001152992249,1.7287945790311892
253,6,0.31350457668304443,0.07035945355892181,1.7483093348231327
254,16,0.43348631262779236,0.22729697823524475,1.605930764700115
255,6,0.35670050978660583,0.01001662015914917,1.316058335837917
256,7,0.5231916308403015,0.2292994260787964,1.221290939935288
257,6,0.41160911321640015,0.09221425652503967,1.4056185562919834
258,5,0.33011603355407715,0.055260270833969116,1.6563316169898548
259,5,0.54119873046875,0.27353614568710327,1.2468083951611924
260,15,0.427073210477829,0.2451513409614563,1.6683213279716513
261,15,0.32661235332489014,0.011623531579971313,1.4454998156391927
262,0,0.2300082892179489,0.026589825749397278,1.9289369657179705
263,6,0.4435245990753174,0.10762801766395569,1.3017795432710622
264,4,0.45935744047164917,0.24829551577568054,1.451677442474736
265,14,0.4672574996948242,0.2121351659297943,1.2822698543770945
266,15,0.5159106850624084,0.25532853603363037,1.1257523729726786
267,9,0.4014415740966797,0.25837160646915436,1.7672991367380009
268,15,0.3603270649909973,0.014564305543899536,1.5745291684109235
269,13,0.4015841782093048,0.18582864105701447,1.5594077569207059
270,1,0.2630560100078583,0.04821731150150299,1.8944104751613562
271,3,0.3522794544696808,0.09236124157905579,1.5624995028455964
272,14,0.3695088326931,0.08406752347946167,1.5344919797665881
273,14,0.4586266875267029,0.2720923572778702,1.520104867253286
274,4,0.9291147589683533,0.8734430335462093,0.3339831240743102
275,7,0.38508376479148865,0.12681114673614502,1.5162770976369835
276,6,0.6782163977622986,0.4855237305164337,0.9605378380639756
277,14,0.25730812549591064,0.03194798529148102,1.8725823157499253
278,1,0.7265628576278687,0.5608636736869812,0.9035946444306103
279,6,0.7977419495582581,0.6079121530056,0.5838808686849156
280,2,0.5237934589385986,0.22658771276474,1.2006593001978134
281,2,0.6890116333961487,0.3985471725463867,0.7510875152429352
282,4,0.413473904132843,0.14281094074249268,1.454529377597833
283,14,0.4016607999801636,0.16719302535057068,1.632524266402806
284,1,0.4469952881336212,0.01722148060798645,1.1455914789640023
